city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Belgrade,44.8167,20.4667,Serbia,RS,Beograd,primary,1378682,1378682
Novi Sad,45.2644,19.8317,Serbia,RS,Novi Sad,admin,380000,380000
Niš,43.3192,21.8961,Serbia,RS,Niš,admin,183164,183164
Zemun,44.8500,20.4000,Serbia,RS,Beograd,minor,161596,161596
Kragujevac,44.0142,20.9394,Serbia,RS,Kragujevac,admin,150623,150623
Subotica,46.0983,19.6700,Serbia,RS,Subotica,admin,105681,105681
Valjevo,44.2667,19.8833,Serbia,RS,Valjevo,admin,90312,90312
Loznica,44.5333,19.2258,Serbia,RS,Loznica,admin,86413,86413
Zrenjanin,45.3778,20.3861,Serbia,RS,Zrenjanin,admin,76511,76511
Pančevo,44.8739,20.6519,Serbia,RS,Pančevo,admin,76203,76203
Čačak,43.8914,20.3497,Serbia,RS,Čačak,admin,71883,71883
Kraljevo,43.7234,20.6870,Serbia,RS,Kraljevo,admin,66688,66688
Novi Pazar,43.1500,20.5167,Serbia,RS,Novi Pazar,admin,66527,66527
Leskovac,42.9981,21.9461,Serbia,RS,Leskovac,admin,60288,60288
Užice,43.8500,19.8500,Serbia,RS,Užice,admin,59747,59747
Kruševac,43.5833,21.3267,Serbia,RS,Kruševac,admin,58745,58745
Vranje,42.5542,21.8972,Serbia,RS,Vranje,admin,55138,55138
Sombor,45.7800,19.1200,Serbia,RS,Sombor,admin,51471,51471
Kikinda,45.8244,20.4592,Serbia,RS,Kikinda,admin,38065,38065
Prijepolje,43.5439,19.6514,Serbia,RS,Prijepolje,admin,37059,37059
Vršac,45.1206,21.2986,Serbia,RS,Vršac,admin,35701,35701
Bor,44.1303,22.1036,Serbia,RS,Bor,admin,34159,34159
Bačka Palanka,45.2506,19.3886,Serbia,RS,Bačka Palanka,admin,29449,29449
Priboj,43.5816,19.5273,Serbia,RS,Priboj,admin,27133,27133
Bajina Bašta,43.9731,19.5597,Serbia,RS,Bajina Bašta,admin,26022,26022
Vrbas,45.5697,19.6378,Serbia,RS,Vrbas,admin,24112,24112
Senta,45.9231,20.0731,Serbia,RS,Senta,admin,20302,20302
Trstenik,43.6186,20.9972,Serbia,RS,Trstenik,admin,17180,17180
Bačka Topola,45.8089,19.6350,Serbia,RS,Bačka Topola,admin,16171,16171
Sjenica,43.2667,20.0000,Serbia,RS,Sjenica,admin,14060,14060
Bela Crkva,44.8975,21.4172,Serbia,RS,Bela Crkva,admin,10675,10675
Ada,45.8014,20.1222,Serbia,RS,Ada,admin,10547,10547
Kanjiža,46.0667,20.0500,Serbia,RS,Kanjiža,admin,10200,10200
Vrnjačka Banja,43.6167,20.9000,Serbia,RS,Vrnjačka Banja,admin,10065,10065
Žabalj,45.3667,20.0667,Serbia,RS,Žabalj,admin,9161,9161
Odžaci,45.5167,19.2667,Serbia,RS,Odžaci,admin,9021,9021
Sremski Karlovci,45.2000,19.9333,Serbia,RS,Sremski Karlovci,admin,8750,8750
Beočin,45.1922,19.7203,Serbia,RS,Beočin,admin,8058,8058
Sokobanja,43.6394,21.8694,Serbia,RS,Sokobanja,admin,7982,7982
Lapovo,44.1842,21.0973,Serbia,RS,Lapovo,admin,7143,7143
Bački Petrovac,45.3564,19.5883,Serbia,RS,Bački Petrovac,admin,6727,6727
Bač,45.3886,19.2353,Serbia,RS,Bač,admin,6087,6087
Irig,45.1011,19.8583,Serbia,RS,Irig,admin,4848,4848
Čoka,45.9389,20.1394,Serbia,RS,Čoka,admin,4707,4707
Alibunar,45.0808,20.9658,Serbia,RS,Alibunar,admin,3431,3431
Jagodina,43.9750,21.2564,Serbia,RS,Jagodina,admin,,
Šabac,44.7558,19.6939,Serbia,RS,Šabac,admin,,
Gornji Milanovac,44.0212,20.4560,Serbia,RS,Gornji Milanovac,admin,,
Požega,43.8500,20.0500,Serbia,RS,Požega,admin,,
Krupanj,44.3656,19.3619,Serbia,RS,Krupanj,admin,,
Lebane,42.9167,21.7333,Serbia,RS,Lebane,admin,,
Vladičin Han,42.7000,22.0667,Serbia,RS,Vladičin Han,admin,,
Knjaževac,43.5000,22.4333,Serbia,RS,Knjaževac,admin,,
Ljubovija,44.1896,19.3785,Serbia,RS,Ljubovija,admin,,
Smederevska Palanka,44.3655,20.9587,Serbia,RS,Smederevska Palanka,admin,,
Mali Zvornik,44.3992,19.1214,Serbia,RS,Mali Zvornik,admin,,
Surdulica,42.6950,22.1672,Serbia,RS,Surdulica,admin,,
Požarevac,44.6200,21.1897,Serbia,RS,Požarevac,admin,,
Zaječar,43.9042,22.2847,Serbia,RS,Zaječar,admin,,
Paraćin,43.8667,21.4167,Serbia,RS,Paraćin,admin,,
Lučani,43.8667,20.1333,Serbia,RS,Lučani,admin,,
Smederevo,44.6633,20.9289,Serbia,RS,Smederevo,admin,,
Aleksinac,43.5383,21.7047,Serbia,RS,Aleksinac,admin,,
Despotovac,44.0833,21.4333,Serbia,RS,Despotovac,admin,,
Kladovo,44.6039,22.6072,Serbia,RS,Kladovo,admin,,
